dir,right,left,front,angle,target
1,0,0,0,-0.9755627480278026,0
-1,0,0,0,0.5485897903475289,0
1,0,0,0,-0.9548327646991335,0
0,0,0,0,0.5671930948722894,0
-1,0,0,0,0.5885855327829048,0
1,0,0,0,-0.9170476823436803,0
-1,0,0,0,0.6024163823495667,0
1,0,0,0,-0.9035887520207705,0
1,0,0,0,0.6142002512199082,1
-1,1,0,0,0.12111894159084341,0
-1,0,0,0,0.6389827415450001,0
0,0,1,0,-0.8687256792741289,0
1,0,0,0,-0.8756659163780025,0
1,0,0,0,0.6400062424748615,1
-1,1,0,0,0.1475836176504333,0
0,0,0,0,0.6630986307932849,0
-1,0,0,0,0.6778076844893528,0
1,0,0,0,-0.8307469726696675,0
-1,0,0,0,0.6828069051277105,0
-1,0,0,0,-0.8253913021397861,1
0,0,1,0,-0.33858553278290476,1
0,0,0,0,-0.35241638234956674,1
0,0,1,0,-0.3668750612523434,1
-1,0,0,0,-0.38194163607148207,1
1,0,0,0,0.12433408362199755,1
0,0,0,0,-0.39199980651013233,1
-1,0,0,0,-0.4089469981442513,1
1,0,0,0,0.09641124797922951,1
1,0,0,0,-0.42202086962263063,0
-1,1,0,0,-0.9264415560267378,1
1,0,0,0,-0.4444001122142149,0
-1,0,0,0,-0.9474315432887466,1
1,0,0,0,-0.4647767125227228,0
1,0,0,0,-0.9666166335694748,0
1,1,0,0,0.5498479256383133,-1
0,0,0,0,0.2726978709998604,1
1,0,0,0,0.28522328747727727,1
1,0,0,0,-0.22556274802780257,0
1,1,0,0,-0.7382161311296586,-1
-1,0,0,0,0.24035719672817563,0
1,0,0,0,0.75,1
1,0,0,0,0.2596428032718244,1
-1,1,0,0,-0.25,1
0,0,0,0,0.26026450147774777,1
1,0,0,0,0.27118930463494645,1
1,0,0,0,-0.239028144383989,0
0,1,0,0,-0.75,0
-1,1,0,0,-0.7602645014777478,1
0,0,0,0,-0.2711893046349464,1
-1,0,0,0,-0.2828118950765028,1
0,0,0,0,0.2273021290001396,1
1,0,0,0,0.23821613112965861,1
0,0,0,0,-0.27443725197219737,1
1,0,0,0,-0.28801540784794966,0
-1,0,0,0,-0.7985897903475289,1
0,0,0,0,-0.3128329581890012,1
-1,0,0,0,-0.32797913037736937,1
-1,0,0,0,0.18186236817837556,0
-1,0,1,1,0.6974315432887466,-1
1,0,0,0,0.6475836176504333,1
0,0,0,0,0.1614144672170952,1
0,0,0,0,0.17780768448935277,1
-1,0,0,0,0.19743154328874654,0
1,0,0,0,0.7255627480278026,1
0,0,0,0,0.25,1
-1,0,0,0,0.27885793837630457,0
1,0,0,0,0.8025684567112534,1
0,0,0,0,0.33475065946143207,1
-1,0,0,0,0.3711189415908434,0
0,0,0,0,0.8857997487800918,0
-1,0,0,0,0.8975836176504333,0
-1,0,0,0,-0.6331249387476566,1
-1,0,1,1,-0.1475836176504333,-1
-1,0,0,0,0.09277357907774235,0
-1,0,0,0,0.6211189415908434,0
1,0,1,0,-0.8889827415450001,0
-1,0,0,0,0.6357997487800918,0
-1,0,0,0,-0.8743340836219977,1
0,0,1,1,-0.39758361765043326,-1
1,0,0,0,0.5671930948722895,1
1,0,0,0,0.07219231551064724,1
0,1,0,0,-0.45141020965247103,1
1,1,0,0,-0.4755627480278026,-1
1,0,0,0,-0.6600599652387392,0
-1,0,0,0,0.8464112479792295,0
0,0,0,0,-0.665249340538568,0
1,0,0,0,-0.6764415560267378,0
1,0,0,0,0.8301154062639499,1
0,1,0,0,0.3410530018557488,1
0,1,0,0,0.35241638234956674,1
1,0,0,0,0.3642002512199081,1
1,1,0,1,-0.14146302812150902,-1
-1,0,0,0,-0.8221923155106472,1
1,0,0,0,-0.35241638234956674,0
-1,0,0,0,-0.8668750612523434,1
1,0,0,0,-0.39758361765043326,0
1,0,0,0,-0.9072264209222578,0
1,1,0,0,0.6211189415908434,-1
1,0,0,0,0.0910530018557488,1
1,0,0,0,-0.4264415560267378,0
1,1,0,0,-0.9303955127269361,-1
0,0,0,0,-0.2273021290001396,1
0,0,0,0,-0.23821613112965861,1
-1,0,0,0,-0.25,1
1,0,0,0,0.2627256113479918,1
0,0,0,0,-0.25,1
1,0,0,0,-0.263830849566662,0
-1,0,0,0,-0.7764646760595899,1
1,0,0,0,-0.2912855998398473,0
-1,0,0,0,-0.8025684567112534,1
-1,0,0,0,-0.31813763182162447,1
-1,0,1,0,0.1927508529512998,-1
-1,0,0,0,0.5628329581890013,0
1,0,0,0,-0.9410019151324714,0
0,0,0,0,0.5779791303773694,0
0,0,0,0,0.5964112479792296,0
0,0,0,0,0.6142002512199082,0
0,0,0,0,0.6312743207258712,0
0,0,0,0,0.6475836176504333,0
-1,0,0,0,0.6630986307932849,0
1,0,0,0,-0.8450151609391798,0
1,0,0,0,0.6692530273303328,1
-1,1,0,0,0.17780768448935277,0
0,0,0,0,0.6917140165981578,0
0,0,0,0,0.7048327646991335,0
0,0,0,0,0.7171881049234973,0
-1,0,0,0,0.7288106953650536,0
0,0,0,0,-0.7807085563980898,0
0,0,0,0,-0.7895834241605655,0
-1,0,0,0,-0.797864712134245,1
-1,0,0,0,-0.3089980848675285,1
0,0,1,0,0.19909807196821275,1
1,0,1,1,0.20780753684115874,1
1,0,1,0,-0.3043467057322627,0
-1,1,0,0,-0.8128329581890013,1
-1,0,0,0,-0.32539130213978606,1
1,0,1,0,0.18280690512771064,1
1,0,0,0,-0.3307469726696673,0
0,1,0,0,-0.8385855327829048,0
0,0,0,0,-0.8457858855496665,0
-1,0,0,0,-0.8524163823495667,1
1,0,0,0,-0.36540141490025463,0
0,0,0,0,-0.8711189415908434,0
-1,0,0,0,-0.8763943130154868,1
0,0,0,0,-0.38898274154500007,1
-1,0,0,0,-0.4019437543337215,1
0,0,0,0,0.10241638234956678,1
0,0,0,0,0.10716692343993744,1
1,0,0,0,0.11236033017315601,1
0,0,0,0,-0.4026357312570952,1
1,0,0,0,-0.41809131757516255,0
-1,0,0,0,-0.9220208696226306,1
0,0,0,0,-0.43716704181099875,1
0,0,0,0,-0.45260685772251036,1
0,0,0,0,-0.4682744825694464,1
0,0,0,0,-0.48409774874382366,1
-1,0,0,0,-0.5,1
1,0,0,0,0.0,0
-1,0,0,0,-0.5167377083565741,1
-1,0,0,0,-0.017665722888134647,1
1,0,1,0,0.5,1
1,0,0,0,0.0,0
-1,1,0,0,-0.5187025592412766,1
1,0,0,0,-0.019868524305540817,0
1,0,0,0,-0.5395834241605656,0
-1,1,0,0,0.9627231288457948,0
1,0,0,0,-0.5555998877857852,0
1,0,0,0,0.9474315432887466,1
1,1,0,1,0.46477671252272273,-1
-1,0,0,0,0.18186236817837556,0
0,0,0,0,0.6974315432887466,0
-1,0,0,0,0.7119845921520503,0
-1,0,0,0,-0.7985897903475289,1
0,0,1,1,-0.3128329581890012,-1
0,0,0,0,-0.2951672353008665,1
-1,0,0,0,-0.30559988778578523,1
0,0,0,0,0.20213528786575494,1
-1,0,0,0,0.21041657583943443,0
0,0,0,0,0.7211420616236954,0
1,0,0,0,0.7312974407587233,1
0,0,0,0,0.2403571967281756,1
-1,0,0,0,0.25,0
-1,0,0,0,0.7596428032718243,0
1,0,1,0,-0.75,0
0,0,0,0,0.7590920946756484,0
1,0,0,0,0.7676657228881346,1
0,0,0,0,0.2772171802988209,1
1,0,0,0,0.2872768711542052,1
0,0,0,0,-0.2211420616236955,1
0,1,0,0,-0.2301314756944592,1
0,1,0,0,-0.23973549852225226,1
-1,0,0,0,-0.25,1
1,0,0,0,0.26097185561601094,1
-1,0,0,0,-0.25,1
0,0,0,0,0.2617838688703414,1
0,0,0,0,0.27443725197219737,1
1,0,0,0,0.28801540784794966,1
-1,0,0,0,-0.22353532394041012,1
1,0,0,0,0.29128559983984725,1
0,0,0,0,-0.2211420616236955,1
1,0,0,0,-0.2348538278116319,0
0,0,0,0,-0.75,0
0,0,0,0,-0.7638308495666619,0
1,0,0,0,-0.7764646760595899,0
1,0,0,0,0.7372743886520081,1
-1,1,0,0,0.25,0
-1,1,0,0,0.7627256113479918,0
0,0,1,0,-0.75,0
0,0,0,0,-0.7617838688703414,0
-1,0,0,0,-0.7726978709998604,1
1,0,0,0,-0.28522328747727727,0
-1,0,0,0,-0.7951672353008665,1
1,0,0,0,-0.3082859834018422,0
0,0,0,0,-0.8171930948722895,0
-1,0,0,0,-0.8253913021397861,1
1,0,0,0,-0.33858553278290476,0
0,0,0,0,-0.8457858855496665,0
-1,0,0,0,-0.8524163823495667,1
-1,0,0,0,-0.36540141490025463,1
0,0,1,0,0.1408120885663705,1
0,0,1,0,0.1475836176504333,1
0,0,0,0,0.15498483906082017,1
0,0,0,0,0.16309863079328485,1
0,0,0,0,0.17202086962263066,1
0,0,0,0,0.18186236817837553,1
-1,0,0,0,0.1927508529512998,0
0,0,0,0,0.7087144001601527,0
1,0,0,0,0.7235353239404101,1
0,0,0,0,0.236169150433338,1
1,0,0,0,0.25,1
-1,0,0,0,-0.26514617218836817,1
1,0,0,0,0.25,1
-1,0,0,0,-0.2667377083565741,1
-1,0,0,0,0.25,0
1,0,1,0,0.7667377083565741,1
-1,0,0,0,0.28522328747727727,0
1,0,0,0,0.7998479256383133,1
-1,0,0,0,0.31960448727306395,0
-1,0,0,0,0.8319086824248374,0
-1,0,1,0,-0.6871670418109987,-1
-1,0,0,0,-0.8279791303773694,1
0,0,0,0,-0.35241638234956674,1
-1,0,0,0,-0.3788810584091566,1
0,0,0,0,0.1331249387476566,1
1,0,0,0,0.1475836176504333,1
1,0,0,0,-0.3857997487800919,0
1,1,0,0,-0.8975836176504333,-1
-1,0,0,0,-0.7880154078479497,1
1,0,0,0,-0.30256845671125343,0
0,0,0,0,-0.8128329581890013,0
1,0,0,0,-0.8221923155106472,0
-1,0,0,0,0.6917140165981578,0
-1,0,0,0,-0.8171930948722895,1
-1,0,1,0,-0.3307469726696674,-1
0,0,0,0,1.0,0
0,0,0,0,1.0,0
-1,0,0,0,1.0,0
1,0,0,0,-0.5264646760595899,0
